;;;;;hcys;hcys;cyst;cyst;cys;met;met;met;sam;sam;sam;sah;sah
matrix;cell_type;time_minutes;with_standards;replicate_nr;0;4;0;4;0;0;4;5;0;4;5;0;4
Cells;BJ-RAS;5;0;1;;;367;;2640;1022;781;18644;1395;;210;69;
Cells;BJ-RAS;5;0;2;;;474;;1732;644;604;14954;2542;;473;72;
Cells;BJ-RAS;15;0;1;;;551;;3956;714;1109;25986;1401;53;1292;;27
Cells;BJ-RAS;15;0;2;;;561;;2189;496;748;16267;2039;86;1915;;31
Cells;BJ-RAS;30;0;1;;;528;;3526;494;776;16515;1319;176;3734;;32
Cells;BJ-RAS;30;0;2;;;449;;2642;517;820;19928;1276;238;3913;;36
Cells;BJ-RAS;60;0;1;;;410;;2293;518;654;18305;723;348;5692;;41
Cells;BJ-RAS;60;0;2;;;400;;1775;382;643;13988;492;154;3422;;46
Cells;BJ-RAS;300;0;1;;;194;133;5772;590;1613;35238;225;258;4893;;60
Cells;BJ-RAS;300;0;2;;;204;114;3979;274;805;20443;184;280;4735;;57
Cells;BJ-RAS;1440;0;1;;;107;442;6927;1116;2177;44361;237;494;8653;;119
Cells;BJ-RAS;1440;0;2;;;133;410;6401;1103;2166;48440;283;635;10873;;141
Cells;BJ-RAS;1440;1;1;245;;7964;377;8894;57849;2562;49785;1461;785;11331;896;142
Cells;BJ-RAS;1440;1;2;234;;8132;373;9328;59367;2631;59394;1735;824;14383;904;149
Cells;BJ-TERT;5;0;1;;;1357;;3004;1319;1514;39926;2700;;488;90;
Cells;BJ-TERT;5;0;2;;;1358;;3295;1517;1703;41511;2243;;381;91;
Cells;BJ-TERT;15;0;1;;;1181;;3184;1276;1564;37110;2135;89;1884;;33
Cells;BJ-TERT;15;0;2;;;1083;;3393;1023;1882;43853;1779;55;1628;;40
Cells;BJ-TERT;30;0;1;;;896;;2811;797;1443;35038;906;147;3433;;63
Cells;BJ-TERT;30;0;2;;;1028;;3628;934;1544;40670;677;169;2339;;61
Cells;BJ-TERT;60;0;1;;;688;118;3748;869;1661;39534;131;128;2162;;72
Cells;BJ-TERT;60;0;2;;;730;93;2962;880;1417;35535;221;138;3232;;78
Cells;BJ-TERT;300;0;1;;;210;365;4100;661;1662;39754;101;240;4041;;85
Cells;BJ-TERT;300;0;2;;;158;369;5014;854;1804;45866;54;140;2879;;94
Cells;BJ-TERT;1440;0;1;;;332;932;6712;1932;3672;76106;147;307;5411;;160
Cells;BJ-TERT;1440;0;2;;;305;914;8882;2561;4353;90595;159;314;6487;;106
Cells;BJ-TERT;1440;1;1;89;;8221;658;8197;56801;3233;67919;1376;408;6344;866;154
Cells;BJ-TERT;1440;1;2;171;;8328;732;8253;53457;3113;62914;1005;233;4182;891;165
Medium;BJ-RAS;1440;0;1;145;1288;127;;80829;13094;28127;603462;;;148;;
Medium;BJ-RAS;1440;0;2;208;1377;141;;83903;13865;28932;622761;;;119;;
Medium;BJ-RAS;1440;1;1;9960;1394;174;;153099;666400;30151;662722;;;138;;
Medium;BJ-RAS;1440;1;2;10415;1456;182;;148458;625504;29380;630954;;;139;;
Medium;BJ-TERT;1440;0;1;589;1243;361;77;88095;35169;31022;678696;;;;;
Medium;BJ-TERT;1440;0;2;280;1096;254;74;70742;17365;27870;673240;;;;;
Medium;BJ-TERT;1440;1;1;4359;1307;307;90;114433;259460;31918;704649;;;;;
Medium;BJ-TERT;1440;1;2;10641;1416;331;92;150136;654297;33006;729518;;;;;
Medium;none;1440;0;1;;394;83;;108100;707;25776;638831;;;;;
Medium;none;1440;1;1;11405;395;172;;194600;630671;27905;714237;;;;;
Medium;none;0;0;1;;;159;;;733;27896;707470;;;;;
